ID Rejsu,ID Okrętu,Nazwa Okrętu,Miejsce Zdarzenia,Rodzaj Zdarzenia,Uszkodzenia
78,4,Złoty Jesiotr,Q9,Sztorm,47%
78,4,Złoty Jesiotr,Q8,Mielizna,10%
78,4,Złoty Jesiotr,Q7,Sztorm,7%
78,4,Złoty Jesiotr,P8,Mielizna,7%
79,38,Tęczowy Pstrąg,M11,Harpie,0%
80,42,Fioletowy Jesiotr,Q8,Mielizna,25%
83,2,Czarny Jesiotr,I9,Piraci,0%
84,75,Kolorowy Mintaj,R5,Kraken,15%
84,75,Kolorowy Mintaj,Q3,Harpie,0%
85,65,Srebrny Łosoś,N2,Rekiny,0%
85,65,Srebrny Łosoś,N3,Sztorm,24%
85,65,Srebrny Łosoś,M4,Rekiny,4%
85,65,Srebrny Łosoś,L4,Rekiny,7%
85,65,Srebrny Łosoś,K4,Kraken,27%
85,65,Srebrny Łosoś,K4,Rekiny,0%
85,65,Srebrny Łosoś,I4,Piraci,20%
85,65,Srebrny Łosoś,H4,Rekiny,0%
87,52,Niebieski Okoń,Q8,Rekiny,7%
87,52,Niebieski Okoń,Q6,Harpie,0%
87,52,Niebieski Okoń,P4,Piraci,67%
87,52,Niebieski Okoń,P4,Sztorm,20%
88,7,Brunatny Leszcz,Q12,Rekiny,5%
88,7,Brunatny Leszcz,Q12,Sztorm,5%
90,3,Purpurowy Szczupak,K14,Harpie,7%
90,3,Purpurowy Szczupak,K14,Rekiny,4%
90,3,Purpurowy Szczupak,M13,Piraci,34%
90,3,Purpurowy Szczupak,N13,Rekiny,0%
90,3,Purpurowy Szczupak,O13,Sztorm,20%
90,3,Purpurowy Szczupak,P13,Piraci,10%
90,3,Purpurowy Szczupak,P13,Harpie,0%
90,3,Purpurowy Szczupak,P13,Rekiny,0%
91,40,Biały Sandacz,O11,Sztorm,30%
91,40,Biały Sandacz,P11,Rekiny,5%
92,62,Pomarańczowy Morszczuk,J11,Rekiny,0%
92,62,Pomarańczowy Morszczuk,J10,Harpie,0%
92,62,Pomarańczowy Morszczuk,J10,Mielizna,4%
93,74,Fioletowy Szprot,M13,Mielizna,4%
93,74,Fioletowy Szprot,M12,Sztorm,17%
93,74,Fioletowy Szprot,N11,Harpie,0%
94,23,Czerwony Karp,Q4,Sztorm,5%
94,23,Czerwony Karp,Q8,Mielizna,5%
95,63,Brązowy Łosoś,Q5,Rekiny,0%
95,63,Brązowy Łosoś,Q3,Rekiny,7%
95,63,Brązowy Łosoś,Q3,Sztorm,0%
97,15,Tęczowy Łosoś,H5,Harpie,4%
97,15,Tęczowy Łosoś,G7,Harpie,0%
97,15,Tęczowy Łosoś,F8,Kraken,7%
97,15,Tęczowy Łosoś,G9,Piraci,14%
97,15,Tęczowy Łosoś,G10,Piraci,0%
98,46,Zielony Halibut,P13,Harpie,10%
98,46,Zielony Halibut,O13,Kraken,10%
98,46,Zielony Halibut,O13,Rekiny,0%
98,46,Zielony Halibut,N13,Sztorm,30%
98,46,Zielony Halibut,L13,Góra lodowa,5%
98,46,Zielony Halibut,J13,Harpie,0%
99,19,Czarny Węgorz,R13,Harpie,4%
99,19,Czarny Węgorz,Q12,Piraci,47%
100,43,Brązowy Sandacz,P10,Harpie,0%
100,43,Brązowy Sandacz,R6,Kraken,0%
100,43,Brązowy Sandacz,Q4,Sztorm,0%
102,5,Srebrny Pstrąg,I9,Harpie,0%
102,5,Srebrny Pstrąg,I9,Mielizna,7%
102,5,Srebrny Pstrąg,H7,Kraken,40%
102,5,Srebrny Pstrąg,H7,Sztorm,0%
102,5,Srebrny Pstrąg,H5,Sztorm,4%
103,76,Czerwony Szczupak,N2,Harpie,0%
103,76,Czerwony Szczupak,M1,Piraci,65%
104,77,Tęczowy Tuńczyk,Q3,Harpie,0%
105,47,Turkusowy Leszcz,Q9,Mielizna,64%
106,66,Czarny Śledź,N3,Harpie,0%
106,66,Czarny Śledź,K4,Piraci,44%
107,20,Brunatny Karp,H7,Harpie,14%
107,20,Brunatny Karp,H7,Rekiny,4%
107,20,Brunatny Karp,H7,Sztorm,4%
107,20,Brunatny Karp,H8,Piraci,14%
107,20,Brunatny Karp,H8,Harpie,0%
107,20,Brunatny Karp,H8,Ogień,0%
107,20,Brunatny Karp,I10,Mielizna,7%
110,61,Brązowy Leszcz,G5,Harpie,0%
110,61,Brązowy Leszcz,H7,Kraken,0%
110,61,Brązowy Leszcz,G8,Kraken,15%
110,61,Brązowy Leszcz,G9,Sztorm,15%
110,61,Brązowy Leszcz,H11,Smok,5%
110,61,Brązowy Leszcz,I13,Sztorm,15%
111,32,Srebrny Szprot,P13,Rekiny,0%
111,32,Srebrny Szprot,N13,Harpie,0%
111,32,Srebrny Szprot,J14,Piraci,0%
112,55,Srebrny Tuńczyk,O14,Piraci,40%
113,49,Barwny Jesiotr,I12,Harpie,10%
113,49,Barwny Jesiotr,L6,Rekiny,7%
113,49,Barwny Jesiotr,M6,Mielizna,4%
113,49,Barwny Jesiotr,O3,Mielizna,7%
113,49,Barwny Jesiotr,O3,Sztorm,7%
114,30,Brunatny Pstrąg,N5,Harpie,0%
115,27,Srebrny Jesiotr,R4,Harpie,20%
115,27,Srebrny Jesiotr,R4,Rekiny,5%
116,8,Pomarańczowy Dorsz,O2,Harpie,0%
116,8,Pomarańczowy Dorsz,M3,Sztorm,5%
116,8,Pomarańczowy Dorsz,K4,Kraken,0%
116,8,Pomarańczowy Dorsz,J4,Kraken,15%
116,8,Pomarańczowy Dorsz,J4,Syreny,0%
117,29,Zielony Szprot,F4,Harpie,0%
118,16,Biały Tuńczyk,I5,Sztorm,10%
118,16,Biały Tuńczyk,I6,Kraken,0%
118,16,Biały Tuńczyk,I6,Sztorm,14%
119,57,Tęczowy Szczupak,J3,Harpie,0%
121,67,Czerwony Leszcz,P11,Harpie,14%
121,67,Czerwony Leszcz,O11,Sztorm,14%
121,67,Czerwony Leszcz,N11,Sztorm,4%
121,67,Czerwony Leszcz,P11,Rekiny,4%
122,73,Szary Mintaj,I13,Harpie,0%
122,73,Szary Mintaj,I9,Smok,34%
122,73,Szary Mintaj,I8,Piraci,37%
122,73,Szary Mintaj,I8,Smok,14%
122,73,Szary Mintaj,H5,Rekiny,0%
123,60,Pomarańczowy Sandacz,K13,Rekiny,0%
123,60,Pomarańczowy Sandacz,M11,Kraken,20%
124,25,Biały Szczupak,J14,Piraci,10%
124,25,Biały Szczupak,L13,Harpie,5%
124,25,Biały Szczupak,M13,Mielizna,15%
126,37,Niebieski Węgorz,K3,Harpie,0%
126,37,Niebieski Węgorz,J3,Rekiny,4%
126,37,Niebieski Węgorz,J3,Smok,7%
128,2,Czarny Jesiotr,I6,Kraken,10%
128,2,Czarny Jesiotr,J7,Harpie,0%
128,2,Czarny Jesiotr,I7,Rekiny,0%
129,5,Srebrny Pstrąg,H5,Piraci,0%
129,5,Srebrny Pstrąg,G6,Harpie,14%
129,5,Srebrny Pstrąg,G10,Harpie,0%
129,5,Srebrny Pstrąg,H11,Kraken,14%
131,81,Złoty Sandacz,N10,Mielizna,40%
131,81,Złoty Sandacz,N9,Mielizna,10%
132,4,Złoty Jesiotr,P9,Mielizna,4%
132,4,Złoty Jesiotr,Q5,Piraci,0%
132,4,Złoty Jesiotr,Q5,Rekiny,4%
132,4,Złoty Jesiotr,Q5,Sztorm,0%
132,4,Złoty Jesiotr,Q3,Harpie,0%
133,22,Turkusowy Dorsz,Q8,Mielizna,4%
133,22,Turkusowy Dorsz,R7,Rekiny,0%
133,22,Turkusowy Dorsz,R6,Kraken,20%
134,79,Tęczowy Sandacz,I8,Piraci,27%
134,79,Tęczowy Sandacz,I8,Harpie,7%
134,79,Tęczowy Sandacz,I8,Mielizna,17%
134,79,Tęczowy Sandacz,I8,Sztorm,20%
136,34,Srebrny Szczupak,H15,Harpie,0%
136,34,Srebrny Szczupak,H15,Góra lodowa,20%
136,34,Srebrny Szczupak,G15,Mielizna,10%
137,82,Zielony Łosoś,O6,Piraci,24%
140,84,Barwny Śledź,G5,Sztorm,80%
140,84,Barwny Śledź,G10,Kraken,5%
141,7,Brunatny Leszcz,R12,Sztorm,30%
142,10,Pomarańczowy Węgorz,Q10,Sztorm,5%
143,51,Szary Węgorz,Q13,Piraci,30%
143,51,Szary Węgorz,Q13,Sztorm,7%
143,51,Szary Węgorz,P14,Piraci,0%
143,51,Szary Węgorz,P14,Harpie,0%
143,51,Szary Węgorz,P15,Smok,34%
143,51,Szary Węgorz,O14,Kraken,0%
143,51,Szary Węgorz,O14,Rekiny,7%
143,51,Szary Węgorz,O14,Sztorm,10%
143,51,Szary Węgorz,P12,Piraci,0%
144,74,Fioletowy Szprot,Q10,Harpie,0%
144,74,Fioletowy Szprot,Q10,Smok,27%
144,74,Fioletowy Szprot,Q9,Mielizna,30%
144,74,Fioletowy Szprot,Q8,Mielizna,37%
144,74,Fioletowy Szprot,R6,Rekiny,0%
144,74,Fioletowy Szprot,Q4,Rekiny,0%
146,62,Pomarańczowy Morszczuk,I13,Piraci,0%
148,63,Brązowy Łosoś,Q5,Rekiny,4%
148,63,Brązowy Łosoś,Q8,Mielizna,24%
148,63,Brązowy Łosoś,P10,Góra lodowa,17%
150,42,Fioletowy Jesiotr,P5,Sztorm,0%
150,42,Fioletowy Jesiotr,P4,Sztorm,0%
152,2,Czarny Jesiotr,G7,Kraken,10%
152,2,Czarny Jesiotr,G8,Rekiny,0%
152,2,Czarny Jesiotr,G9,Kraken,50%
152,2,Czarny Jesiotr,G6,Harpie,5%
152,2,Czarny Jesiotr,G5,Piraci,25%
154,28,Niebieski Jesiotr,F4,Rekiny,0%
155,12,Barwny Szczupak,P8,Harpie,4%
156,47,Turkusowy Leszcz,Q12,Harpie,14%
156,47,Turkusowy Leszcz,Q12,Góra lodowa,17%
157,86,Zielony Węgorz,Q12,Harpie,0%
157,86,Zielony Węgorz,S11,Góra lodowa,10%
157,86,Zielony Węgorz,S11,Piraci,0%
157,86,Zielony Węgorz,S11,Góra lodowa,10%
157,86,Zielony Węgorz,S11,Smok,7%
157,86,Zielony Węgorz,R12,Piraci,10%
159,15,Tęczowy Łosoś,J13,Piraci,0%
159,15,Tęczowy Łosoś,J13,Smok,7%
159,15,Tęczowy Łosoś,I12,Smok,10%
159,15,Tęczowy Łosoś,J11,Harpie,4%
159,15,Tęczowy Łosoś,K9,Harpie,7%
159,15,Tęczowy Łosoś,K9,Ogień,4%
159,15,Tęczowy Łosoś,K8,Harpie,0%
159,15,Tęczowy Łosoś,K8,Rekiny,0%
159,15,Tęczowy Łosoś,K8,Rekiny,4%
159,15,Tęczowy Łosoś,L7,Syreny,0%
159,15,Tęczowy Łosoś,L6,Mielizna,14%
159,15,Tęczowy Łosoś,N5,Piraci,47%
160,78,Pomarańczowy Mintaj,H17,Smok,80%
160,78,Pomarańczowy Mintaj,I15,Sztorm,15%
161,53,Purpurowy Śledź,L11,Kraken,45%
161,53,Purpurowy Śledź,P11,Góra lodowa,15%
161,53,Purpurowy Śledź,P11,Sztorm,35%
163,49,Barwny Jesiotr,Q3,Harpie,10%
165,90,Turkusowy Śledź,I7,Harpie,10%
165,90,Turkusowy Śledź,J13,Góra lodowa,30%
166,37,Niebieski Węgorz,H5,Harpie,4%
166,37,Niebieski Węgorz,G6,Harpie,0%
166,37,Niebieski Węgorz,G7,Kraken,14%
166,37,Niebieski Węgorz,G7,Rekiny,4%
166,37,Niebieski Węgorz,G7,Sztorm,0%
166,37,Niebieski Węgorz,G6,Sztorm,10%
167,19,Czarny Węgorz,P5,Mielizna,7%
167,19,Czarny Węgorz,P8,Harpie,0%
167,19,Czarny Węgorz,P8,Mielizna,34%
167,19,Czarny Węgorz,Q9,Mielizna,37%
168,40,Biały Sandacz,Q9,Mielizna,15%
168,40,Biały Sandacz,S5,Rekiny,0%
168,40,Biały Sandacz,Q9,Sztorm,0%
169,55,Srebrny Tuńczyk,M11,Kraken,5%
169,55,Srebrny Tuńczyk,P11,Piraci,35%
170,69,Kolorowy Leszcz,J14,Harpie,20%
170,69,Kolorowy Leszcz,J13,Sztorm,10%
171,83,Kolorowy Karp,L11,Sztorm,30%
172,52,Niebieski Okoń,L4,Rekiny,0%
172,52,Niebieski Okoń,J4,Kraken,30%
172,52,Niebieski Okoń,J4,Sztorm,14%
172,52,Niebieski Okoń,I4,Harpie,0%
173,91,Czarny Śledź,O2,Harpie,5%
173,91,Czarny Śledź,O3,Mielizna,5%
173,91,Czarny Śledź,N4,Harpie,5%
173,91,Czarny Śledź,Q3,Harpie,0%
174,73,Szary Mintaj,C4,Harpie,0%
174,73,Szary Mintaj,C4,Rekiny,7%
174,73,Szary Mintaj,D4,Mielizna,7%
174,73,Szary Mintaj,E4,Piraci,27%
175,67,Czerwony Leszcz,Q12,Smok,37%
175,67,Czerwony Leszcz,P14,Harpie,14%
175,67,Czerwony Leszcz,P13,Sztorm,24%
175,67,Czerwony Leszcz,Q13,Harpie,10%
175,67,Czerwony Leszcz,Q13,Ogień,0%
177,25,Biały Szczupak,N13,Harpie,0%
177,25,Biały Szczupak,K13,Góra lodowa,15%
177,25,Biały Szczupak,J14,Góra lodowa,20%
178,85,Purpurowy Halibut,N10,Mielizna,17%
178,85,Purpurowy Halibut,N10,Rekiny,0%
178,85,Purpurowy Halibut,N10,Sztorm,7%
178,85,Purpurowy Halibut,M10,Syreny,10%
178,85,Purpurowy Halibut,M9,Harpie,0%
178,85,Purpurowy Halibut,M9,Syreny,0%
178,85,Purpurowy Halibut,L8,Mielizna,4%
178,85,Purpurowy Halibut,J7,Rekiny,0%
178,85,Purpurowy Halibut,I6,Rekiny,0%
179,14,Barwny Łosoś,J13,Smok,15%
179,14,Barwny Łosoś,I12,Góra lodowa,10%
179,14,Barwny Łosoś,H8,Harpie,0%
179,14,Barwny Łosoś,H7,Kraken,0%
180,46,Zielony Halibut,K11,Harpie,0%
180,46,Zielony Halibut,P11,Góra lodowa,15%
181,20,Brunatny Karp,I12,Harpie,4%
181,20,Brunatny Karp,I10,Ogień,10%
181,20,Brunatny Karp,I8,Ogień,10%
182,22,Turkusowy Dorsz,O2,Piraci,27%
182,22,Turkusowy Dorsz,L4,Rekiny,0%
182,22,Turkusowy Dorsz,N4,Mielizna,20%
183,57,Tęczowy Szczupak,Q4,Harpie,0%
183,57,Tęczowy Szczupak,Q9,Mielizna,4%
183,57,Tęczowy Szczupak,Q9,Sztorm,0%
183,57,Tęczowy Szczupak,Q10,Rekiny,4%
185,4,Złoty Jesiotr,Q3,Smok,17%
185,4,Złoty Jesiotr,P4,Rekiny,0%
185,4,Złoty Jesiotr,P5,Piraci,10%
185,4,Złoty Jesiotr,P5,Harpie,0%
185,4,Złoty Jesiotr,O6,Rekiny,4%
185,4,Złoty Jesiotr,P7,Mielizna,4%
186,37,Niebieski Węgorz,E6,Sztorm,0%
186,37,Niebieski Węgorz,G5,Sztorm,0%
187,8,Pomarańczowy Dorsz,I4,Harpie,10%
188,81,Złoty Sandacz,Q8,Mielizna,15%
188,81,Złoty Sandacz,R7,Rekiny,0%
188,81,Złoty Sandacz,S5,Rekiny,0%
188,81,Złoty Sandacz,R6,Rekiny,0%
189,23,Czerwony Karp,N12,Harpie,10%
189,23,Czerwony Karp,N12,Sztorm,0%
189,23,Czerwony Karp,M12,Syreny,15%
189,23,Czerwony Karp,M12,Sztorm,5%
189,23,Czerwony Karp,M13,Mielizna,5%
190,77,Tęczowy Tuńczyk,J13,Sztorm,15%
191,60,Pomarańczowy Sandacz,P9,Rekiny,0%
191,60,Pomarańczowy Sandacz,P7,Harpie,20%
191,60,Pomarańczowy Sandacz,P5,Harpie,0%
192,61,Brązowy Leszcz,K14,Mielizna,5%
192,61,Brązowy Leszcz,L13,Góra lodowa,10%
192,61,Brązowy Leszcz,N13,Sztorm,10%
192,61,Brązowy Leszcz,O13,Kraken,15%
192,61,Brązowy Leszcz,P12,Piraci,25%
194,32,Srebrny Szprot,J13,Rekiny,7%
194,32,Srebrny Szprot,J13,Smok,20%
194,32,Srebrny Szprot,K13,Rekiny,0%
194,32,Srebrny Szprot,L13,Harpie,7%
194,32,Srebrny Szprot,M11,Kraken,0%
194,32,Srebrny Szprot,M11,Rekiny,0%
194,32,Srebrny Szprot,N11,Harpie,0%
194,32,Srebrny Szprot,N11,Syreny,0%
194,32,Srebrny Szprot,O11,Syreny,10%
195,74,Fioletowy Szprot,Q3,Piraci,0%
195,74,Fioletowy Szprot,R5,Harpie,0%
195,74,Fioletowy Szprot,R5,Kraken,14%
195,74,Fioletowy Szprot,R5,Rekiny,4%
195,74,Fioletowy Szprot,Q3,Sztorm,10%
196,52,Niebieski Okoń,F4,Sztorm,4%
197,29,Zielony Szprot,H5,Rekiny,4%
197,29,Zielony Szprot,I9,Mielizna,30%
197,29,Zielony Szprot,I8,Mielizna,10%
197,29,Zielony Szprot,H5,Rekiny,0%
198,79,Tęczowy Sandacz,J3,Harpie,14%
198,79,Tęczowy Sandacz,J2,Harpie,0%
198,79,Tęczowy Sandacz,J2,Sztorm,4%
199,51,Szary Węgorz,P13,Harpie,7%
199,51,Szary Węgorz,O13,Harpie,4%
199,51,Szary Węgorz,N13,Harpie,0%
199,51,Szary Węgorz,N13,Syreny,0%
199,51,Szary Węgorz,K13,Góra lodowa,20%
200,10,Pomarańczowy Węgorz,O11,Sztorm,5%
